id,text,label
1,这个软件界面清晰，运行速度很快，使用体验非常好,positive
2,客服回复很及时，问题很快就解决了,positive
3,推荐结果很准确，节省了很多时间,positive
4,安装过程简单，新手也能顺利完成,positive
5,系统稳定，没有出现闪退问题,positive
6,功能设计合理，操作逻辑很顺手,positive
7,识别结果比之前版本更准确,positive
8,报告导出格式规范，老师很容易查看,positive
9,整体体验满意，下次还会继续使用,positive
10,数据读取速度快，分析结果清楚,positive
11,软件经常卡顿，打开页面需要很久,negative
12,预测结果不准确，很多文本都分错了,negative
13,导出的文件乱码，无法正常提交,negative
14,界面按钮太乱，找不到需要的功能,negative
15,程序运行中突然崩溃，体验很差,negative
16,训练速度慢，内存占用也很高,negative
17,错误提示不清楚，排查问题很困难,negative
18,模型效果不稳定，同样输入结果不同,negative
19,文档说明太少，使用起来很麻烦,negative
20,安装依赖失败，系统无法启动,negative
21,这个工具可以正常使用，结果基本符合预期,neutral
22,界面风格比较普通，没有明显亮点,neutral
23,功能数量不多，但满足基础需求,neutral
24,系统启动速度一般，整体还能接受,neutral
25,报告内容比较完整，但还可以继续优化,neutral
26,模型预测有一定参考价值，需要人工复核,neutral
27,数据量较小时效果尚可，大数据场景未测试,neutral
28,当前版本功能稳定，后续计划增加图表,neutral
29,操作步骤不复杂，但需要阅读说明,neutral
30,输出文件能够生成，展示效果一般,neutral
